household_id,kwh_per_occupant,kwh_per_sqft,usage_category
H0926,300.85,0.8758,High
H0927,334.85,0.4463,High
H0928,314.47,1.4932,High
H0929,1699.26,1.843,High
H0930,515.45,0.9684,
H0931,1621.83,0.755,High
H0932,368.58,1.1554,High
H0933,1691.88,1.4111,High
H0934,1649.9,1.1434,High
H0935,586.46,0.7285,High
H0936,285.45,0.9903,High
H0937,444.39,0.6115,High
H0938,1409.16,1.3207,High
H0939,1536.4,1.9597,High
H0940,294.33,0.6187,High
H0941,476.76,1.9539,High
H0942,354.57,0.5878,High
H0943,332.69,0.5547,High
H0944,240.54,0.7023,High
H0945,370.44,0.6427,High
H0946,485.4,0.622,High
H0947,340.62,1.1304,
H0948,1581.58,0.7464,High
H0949,475.18,0.6342,High
H0950,340.74,1.2266,High
H0951,1505.25,1.0504,High
H0952,422.53,0.835,
H0953,1415.3,1.3492,High
H0954,1837.26,0.5812,High
H0955,400.09,0.7384,
H0956,309.34,1.3861,High
H0957,605.56,1.8443,High
H0958,836.29,0.5185,High
H0959,1733.5,1.1315,High
H0960,315.27,1.8744,High
H0961,509.96,0.9999,High
H0962,1459.81,2.4129,High
H0963,814.46,0.6011,High
H0964,234.63,0.5523,High
H0965,193.1,0.2778,Medium
H0966,298.38,0.5729,High
H0967,398.97,1.6781,High
H0968,225.55,0.7616,High
H0969,1332.32,0.5614,High
H0970,416.59,0.8985,High
H0971,983.68,0.6375,High
H0972,407.76,2.438,High
H0973,357.19,0.7034,High
H0974,1349.96,1.3705,High
H0975,223.39,0.3841,High
H0976,323.26,0.5997,High
H0977,217.91,0.3764,High
H0978,469.12,0.8099,High
H0979,1649.11,0.614,High
H0980,303.27,1.0343,High
H0981,209.12,0.3624,High
H0982,249.77,0.5544,High
H0983,346.52,0.617,High
H0984,768.61,0.5082,High
H0985,284.68,0.5584,High
H0986,591.21,0.5296,High
H0987,1763.69,1.3201,High
H0988,1091.67,0.897,High
H0989,801.88,1.9346,High
H0990,1504.23,1.1077,High
H0991,494.03,0.4387,High
H0992,1422.93,2.2303,High
H0993,576.89,2.7959,High
H0994,562.59,1.9903,High
H0995,259.7,0.8818,High
H0996,324.18,1.3688,High
H0997,759.8,1.4268,High
H0998,335.58,0.4915,High
H0999,291.88,0.6688,High
H1000,304.01,0.512,High
H1001,280.27,1.5048,High
H1002,426.45,1.3176,High
H1003,344.63,1.1674,High
H1004,443.97,0.7725,High
H1005,596.24,0.4303,High
H1006,1637.39,1.5684,High
H1007,904.39,1.2305,High
H1008,757.38,0.7152,High
H1009,443.67,0.5279,High
H1010,978.42,2.3323,High
H1011,563.48,0.4887,High
H1012,436.99,1.1739,High
H1013,495.43,1.0931,High
H1014,828.76,0.9127,High
H1015,419.36,1.3829,High
H1016,391.43,1.7074,High
H1017,564.73,1.2295,High
H1018,1627.86,1.2417,High
H1019,270.11,0.3838,High
H1020,830.56,0.7039,High
H1021,1493.12,1.2169,High
H1022,387.78,0.8687,High
H1023,224.24,0.8378,High
H1024,492.55,1.4194,High
H1025,806.89,0.9882,High
H1026,398.7,2.8581,High
H1027,225.59,0.7677,High
H1028,352.45,0.3073,High
H1029,668.88,0.4781,High
H1030,1906.78,0.9089,High
H1031,270.59,0.588,High
H1032,242.11,0.4159,High
H1033,337.68,0.3559,High
H1034,1569.58,0.5216,High
H1035,659.41,0.8207,High
H1036,420.87,0.4049,High
H1037,246.76,0.438,High
H1038,286.42,1.1388,High
H1039,1521.04,0.9202,High
H1040,1508.7,0.8761,High
H1041,401.39,2.8168,High
H1042,508.66,0.5002,High
H1043,241.36,0.7602,High
H1044,663.62,0.4811,High
H1045,1490.64,1.0086,High
H1046,355.54,0.5817,High
H1047,1673.75,1.0071,High
H1048,382.86,2.2131,High
H1049,326.91,1.1909,High
H1050,534.64,0.8109,High
H1051,334.82,1.068,High
H1052,538.82,0.5417,High
H1053,684.49,0.7104,High
H1054,396.71,2.2187,High
H1055,256.28,2.8318,High
H1056,360.3,0.6539,High
H1057,289.09,1.0844,High
H1058,315.22,1.2639,High
H1059,399.27,0.9467,High
H1060,427.64,0.8884,High
H1061,373.12,1.2542,High
H1062,1660.32,0.8005,High
H1063,1643.37,0.8445,High
H1064,1972.56,1.8697,High
H1065,299.0,1.0093,High
H1066,443.7,0.79,High
H1067,534.26,0.4738,High
H1068,730.92,0.7928,High
H1069,239.87,0.6713,High
H1070,451.7,0.5597,High
H1071,536.23,1.1899,High
H1072,893.46,0.7232,High
H1073,1548.52,0.4456,High
H1074,522.79,0.4811,High
H1075,581.38,1.1304,High
H1076,603.07,0.6873,High
H1077,265.97,0.6068,High
H1078,276.83,0.9166,High
H1079,176.07,0.921,High
H1080,466.76,0.5732,High
H1081,256.91,1.4709,High
H1082,842.25,1.0021,High
H1083,215.73,0.6621,High
H1084,1085.32,0.5609,High
H1085,619.87,0.6222,High
H1086,669.81,0.6278,High
H1087,419.39,0.3721,High
H1088,379.18,0.8849,High
H1089,221.05,2.0933,High
H1090,437.35,0.5311,High
H1091,482.79,0.4262,High
H1092,363.89,0.438,High
H1093,1408.86,2.3481,High
H1094,891.16,3.0056,High
H1095,167.62,0.8708,High
H1096,467.51,1.8051,High
H1097,1171.91,0.4051,High
H1098,309.5,0.7879,High
H1099,317.85,0.6184,High
H1100,324.99,0.6941,High
H1101,801.54,0.8486,High
H1102,871.85,0.6489,High
H1103,298.59,0.3975,High
H1104,331.65,0.541,High
H1105,387.38,0.7987,High
H1106,1503.69,1.5631,High
H1107,486.68,2.1535,High
H1108,643.35,1.5269,High
H1109,409.9,0.5083,High
H1110,236.66,0.6623,High
H1111,286.71,1.2819,High
H1112,212.04,0.8464,High
H1113,529.36,0.5725,High
H1114,723.51,0.7192,High
H1115,1078.0,1.3901,
H1116,333.15,1.1941,High
H1117,801.39,2.2511,High
H1118,1378.1,1.8109,High
H1119,921.89,1.188,High
H1120,1267.83,1.0324,High
H1121,290.4,0.7478,High
H1122,394.72,0.4734,High
H1123,1429.38,1.9447,High
H1124,641.31,0.5804,High
H1125,857.29,0.7036,High
H1126,338.15,1.0783,High
H1127,362.66,0.7405,High
H1128,351.22,0.886,High
H1129,433.67,2.6124,High
H1130,398.62,1.5435,High
H1131,367.93,0.4297,High
H1132,1877.43,1.1344,High
H1133,228.35,2.2351,High
H1134,610.55,0.6519,High
H1135,1421.51,0.8589,High
H1136,224.88,0.6105,High
H1137,390.66,0.7119,High
H1138,301.76,1.92,High
H1139,560.52,1.2045,High
H1140,2071.57,0.649,
H1141,1472.95,0.4946,High
H1142,509.96,0.9819,High
H1143,296.45,0.7302,High
H1144,527.21,0.5194,High
H1145,1237.92,0.8182,High
H1146,574.36,0.8696,High
H1147,427.52,2.1086,High
H1148,796.88,0.5447,High
H1149,329.55,0.6869,High
H1150,391.84,2.3641,High
H1151,336.42,2.3526,High
H1152,427.94,0.6039,High
H1153,497.69,1.2944,High
H1154,680.27,1.3926,High
H1155,1076.92,1.7683,High
H1156,377.7,1.4457,High
H1157,273.62,0.83,High
H1158,257.92,1.1557,High
H1159,276.43,1.3277,High
H1160,520.67,0.6588,High
H1161,325.06,0.6089,High
H1162,499.97,0.82,High
H1163,433.17,0.5244,High
H1164,887.63,0.8242,High
H1165,335.62,1.2366,High
H1166,288.43,0.3561,High
H1167,320.94,1.3064,High
H1168,396.09,0.7205,High
H1169,442.66,0.7842,High
H1170,231.32,0.5919,High
H1171,416.4,3.0505,High
H1172,267.54,1.6659,High
H1173,433.59,1.3321,High
H1174,719.63,1.4992,
H1175,274.68,1.2199,High
H1176,356.34,0.444,High
H1177,864.83,0.7443,High
H1178,901.25,0.8322,High
H1179,1374.16,0.5332,High
H1180,316.71,0.452,High
H1181,1530.6,1.7674,High
H1182,331.79,0.8228,High
H1183,805.48,1.108,High
H1184,889.38,0.6163,High
H1185,400.71,0.4828,High
H1186,725.46,2.4648,
H1187,260.33,0.8611,High
H1188,369.39,0.6229,High
H1189,217.45,0.6411,High
H1190,360.23,0.7427,High
H1191,298.94,0.7914,High
H1192,503.38,1.1414,High
H1193,226.71,0.5208,High
H1194,660.26,0.6442,High
H1195,389.96,1.3101,High
H1196,248.86,0.9791,High
H1197,637.05,1.4561,High
H1198,295.15,0.5396,High
H1199,341.62,0.7378,High
H1200,500.59,0.6956,High
H1201,563.09,0.5654,High
H1202,395.51,1.2957,High
H1203,342.79,0.6569,High
H1204,469.52,0.5415,High
H1205,790.79,1.1037,High
H1206,298.1,1.0327,High
H1207,403.85,0.6678,High
H1208,2006.09,1.1239,
H1209,621.02,3.6747,High
H1210,284.8,0.412,High
H1211,222.34,0.5581,High
H1212,507.96,0.8127,
H1213,492.35,0.6595,High
H1214,1128.38,2.2388,High
H1215,630.02,0.4167,High
H1216,732.16,1.2243,High
H1217,1958.28,0.9049,High
H1218,377.57,2.4328,High
H1219,760.12,0.5112,High
H1220,252.49,0.7832,High
H1221,869.32,1.5319,High
H1222,695.1,0.7046,High
H1223,341.92,2.3855,
H1224,337.64,2.5197,High
H1225,236.25,0.4252,High
H1226,317.76,0.942,High
H1227,704.45,0.6096,High
H1228,539.06,1.2298,High
H1229,811.69,1.7456,High
H1230,1423.38,1.0314,High
H1231,246.54,0.7661,High
H1232,1481.17,0.4756,High
H1233,207.97,0.5509,High
H1234,1586.62,0.9569,High
H1235,447.83,0.8816,High
H1236,208.62,0.9313,High
H1237,347.67,0.6469,High
H1238,373.0,0.4287,High
H1239,1667.21,0.6513,High
H1240,355.61,0.6222,High
H1241,706.8,0.8573,High
H1242,264.89,0.6262,High
H1243,808.84,0.7049,High
H1244,876.2,0.7021,High
H1245,329.54,2.8958,High
H1246,538.22,0.8494,High
H1247,163.32,0.3177,Medium
H1248,204.4,0.463,High
H1249,237.23,0.9683,Medium
H1250,544.53,0.6004,High
H1251,360.24,0.6562,High
H1252,1773.65,0.6154,High
H1253,393.53,0.3733,High
H1254,944.22,0.6877,High
H1255,198.71,1.6935,High
H1256,947.08,1.2569,High
H1257,573.18,0.8771,High
H1258,468.52,1.1684,High
H1259,517.51,0.5394,High
H1260,732.62,0.9484,High
H1261,260.38,0.722,High
H1262,283.45,0.5878,High
H1263,217.9,1.3179,High
H1264,559.56,0.8591,High
H1265,731.47,1.6346,High
H1266,267.15,0.3465,High
H1267,256.83,0.6397,High
H1268,499.14,1.7074,High
H1269,570.58,1.6027,High
H1270,372.63,2.2082,High
H1271,995.2,1.0481,High
H1272,386.5,2.3538,High
H1273,299.25,2.4488,High
H1274,237.26,0.7139,High
H1275,1694.02,0.6503,High
H1276,425.42,1.0993,High
H1277,474.25,0.7315,High
H1278,397.07,0.5564,High
H1279,421.53,0.9405,
H1280,257.18,0.4451,High
H1281,2030.59,3.4652,
H1282,276.9,0.4076,High
H1283,186.25,1.684,Medium
H1284,294.48,0.8666,High
H1285,2141.98,0.7939,
H1286,943.42,0.9656,High
H1287,516.43,0.866,High
H1288,1455.43,0.7103,High
H1289,326.54,1.1458,High
H1290,593.46,0.938,High
H1291,481.04,0.6041,High
H1292,1324.04,0.7658,High
H1293,314.2,0.7488,High
H1294,816.27,1.3593,High
H1295,785.8,0.6417,High
H1296,1223.42,0.4655,High
H1297,333.31,0.5638,High
H1298,393.97,0.7927,High
H1299,377.67,2.1218,High
H1300,1398.88,0.6571,High
H1301,302.33,0.8156,High
H1302,189.9,0.4491,High
H1303,575.41,0.7699,High
H1304,244.97,1.5784,High
H1305,621.84,0.419,High
H1306,615.51,0.3639,High
H1307,483.07,2.2058,High
H1308,309.56,0.6185,High
H1309,687.68,0.4606,High
H1310,491.05,1.5789,High
H1311,442.69,2.9125,High
H1312,847.98,0.7478,High
H1313,210.32,0.4405,High
H1314,273.44,0.4065,High
H1315,324.08,1.1836,High
H1316,200.72,0.5633,High
H1317,315.82,1.7258,High
H1318,324.62,0.9007,High
H1319,297.21,0.5139,High
H1320,633.4,1.185,High
H1321,312.6,2.2817,High
H1322,1760.16,1.4059,High
H1323,249.35,0.4715,High
H1324,225.92,0.9909,High
H1325,1468.94,0.7363,High
H1326,238.63,0.5432,High
H1327,536.86,1.2978,High
H1328,424.88,0.7949,High
H1329,718.82,0.5933,High
H1330,267.78,1.2899,High
H1331,482.16,0.8912,High
H1332,1591.67,1.6443,High
H1333,318.95,0.441,High
H1334,431.04,2.6243,High
H1335,373.35,0.4667,High
H1336,276.82,0.6364,High
H1337,505.95,0.435,High
H1338,721.6,0.6782,High
H1339,212.24,1.6495,High
H1340,263.0,0.6099,High
H1341,344.43,2.2772,High
H1342,392.42,1.1802,High
H1343,967.54,0.6904,High
H1344,353.53,1.3962,High
H1345,589.84,1.9381,High
H1346,482.6,0.5641,High
H1347,350.65,2.2919,High
H1348,247.63,0.6678,High
H1349,649.66,0.489,High
H1350,1588.31,0.7223,High
H1351,660.66,0.666,High
H1352,579.5,0.3909,High
H1353,885.19,0.7778,High
H1354,1700.08,1.6667,High
H1355,361.23,1.4669,High
H1356,1352.4,0.7386,High
H1357,520.43,0.464,High
H1358,265.25,0.8453,High
H1359,1308.79,0.3924,High
H1360,367.46,1.171,High
H1361,523.22,0.4579,High
H1362,352.41,0.4163,High
H1363,1824.15,1.0962,High
H1364,1398.2,0.6264,High
H1365,325.7,1.1695,High
H1366,176.42,0.3126,High
H1367,328.72,1.349,High
H1368,297.76,1.0979,High
H1369,311.03,0.9849,High
H1370,1344.45,1.1783,High
H1371,358.58,0.5187,High
H1372,274.15,0.4737,High
H1373,213.71,0.4485,High
H1374,271.27,0.4777,High
H1375,400.88,1.5404,High
H1376,380.17,2.2495,High
H1377,241.76,0.2887,Medium
H1378,286.76,0.5888,High
H1379,533.76,0.5108,High
H1380,340.87,0.512,High
H1381,223.97,0.4526,High
H1382,387.15,0.9081,
H1383,341.14,1.1191,
H1384,774.48,0.5682,High
H1385,348.97,0.9082,High
H1386,386.23,0.5018,High
H1387,297.8,1.0103,High
H1388,470.75,0.4848,High
H1389,583.18,2.3706,High
H1390,1536.26,2.7239,High
H1391,594.62,1.0881,High
H1392,370.91,0.9091,High
H1393,825.74,0.7037,High
H1394,243.24,1.1149,High
H1395,376.63,1.0081,High
H1396,634.1,3.0388,High
H1397,1544.9,0.6699,High
H1398,429.46,0.6158,
H1399,1662.23,0.4972,High
H1400,1477.27,0.489,High
H1401,642.8,1.2506,High
H1402,722.32,1.0522,High
H1403,594.05,0.5184,High
H1404,256.83,0.7191,High
H1405,1517.0,0.5502,High
H1406,465.82,1.1944,High
H1407,831.05,0.5,High
H1408,311.49,0.368,High
H1409,544.22,0.5864,High
H1410,209.21,0.8096,High
H1411,282.86,0.4357,High
H1412,342.51,1.2974,
H1413,252.65,0.6743,High
H1414,422.79,0.6732,
H1415,371.16,0.5936,High
H1416,356.96,0.9828,High
H1417,281.02,0.6861,High
H1418,216.23,0.3879,High
H1419,412.59,0.5894,High
H1420,738.5,1.0165,High
H1421,316.16,0.503,High
H1422,331.19,0.7223,High
H1423,258.84,0.498,High
H1424,462.7,0.6691,High
H1425,757.29,0.4402,High
H1426,289.63,0.4467,High
H1427,831.09,0.5619,High
H1428,259.73,1.6847,High
H1429,961.62,2.7164,High
H1430,183.62,0.34,High
H1431,401.17,0.8088,High
H1432,748.24,2.0444,High
H1433,340.4,0.4213,High
H1434,565.28,0.487,High
H1435,627.18,0.6506,High
H1436,476.91,0.9768,High
H1437,1360.54,0.5688,High
H1438,532.24,2.011,High
H1439,462.25,0.4258,Medium
H1440,845.84,1.2835,High
H1441,626.72,0.9767,High
H1442,270.44,0.3976,High
H1443,656.37,3.4975,High
H1444,492.79,1.6445,High
H1445,524.88,2.1279,High
H1446,2291.98,2.7285,
H1447,373.15,1.2876,High
H1448,1287.8,0.4327,High
H1449,717.14,0.429,High
H1450,573.02,0.5021,High
H1451,418.5,0.5782,High
H1452,1491.61,0.8548,High
H1453,178.86,1.2961,High
H1454,303.0,0.6692,High
H1455,485.1,0.6517,High
H1456,413.23,0.7396,High
H1457,237.53,0.3615,High
H1458,606.24,0.8215,High
H1459,753.09,0.4407,High
H1460,1511.33,0.7166,High
H1461,311.12,3.2922,High
H1462,327.59,0.4789,High
H1463,584.42,2.5227,High
H1464,543.28,1.3261,High
H1465,1741.87,1.5428,High
H1466,367.02,2.1691,High
H1467,266.03,0.3962,High
H1468,508.42,0.5335,High
H1469,1579.48,0.5203,High
H1470,614.35,1.1123,High
H1471,582.0,1.304,High
H1472,916.93,1.0883,High
H1473,271.73,0.3911,High
H1474,319.91,0.6661,High
H1475,372.81,1.5677,High
H1476,396.78,1.4601,High
H1477,1596.0,1.1255,High
H1478,258.74,1.0677,High
H1479,951.12,0.8091,High
H1480,363.48,0.6106,High
H1481,183.51,0.3393,High
H1482,496.78,0.4355,High
H1483,489.73,1.4154,High
H1484,1164.05,0.4227,High
H1485,340.44,1.2562,High
H1486,1416.35,0.8361,High
H1487,1520.36,0.6683,High
H1488,764.03,0.7461,High
H1489,381.99,1.092,High
H1490,306.0,0.765,High
H1491,1398.99,0.5913,High
H1492,1475.49,0.4592,High
H1493,1525.55,1.3489,High
H1494,581.58,1.3298,High
H1495,268.27,0.3924,High
H1496,819.74,0.4702,High
H1497,751.43,0.8317,High
H1498,1310.09,1.0132,High
H1499,421.88,0.5254,High
H1500,338.48,1.2792,High
H1501,911.66,0.3992,Medium
H1502,391.83,2.9684,High
H1503,1767.56,0.6477,High
H1504,1350.33,1.6964,High
H1505,441.02,0.3646,Medium
H1506,321.12,0.5682,High
H1507,1895.42,1.9302,High
H1508,156.8,0.773,Medium
H1509,401.27,0.3584,High
H1510,400.42,0.5948,High
H1511,1239.85,1.1763,High
H1512,375.87,0.7121,High
H1513,282.25,0.5405,High
H1514,232.05,0.5072,High
H1515,648.9,2.1654,High
H1516,556.6,1.3903,High
H1517,1026.37,0.3685,High
H1518,1368.51,0.3999,High
H1519,506.49,0.5409,High
H1520,507.69,0.9987,High
H1521,701.92,2.2108,High
H1522,370.34,0.8388,High
H1523,396.79,0.6569,High
H1524,423.54,0.4397,High
H1525,417.35,0.6122,High
H1526,257.83,0.4947,High
H1527,363.28,1.2069,High
H1528,223.57,0.6216,High
H1529,487.45,0.7704,High
H1530,268.22,0.9996,High
H1531,208.31,1.167,High
H1532,435.16,0.7347,High
H1533,233.98,0.4552,High
H1534,610.03,2.8506,High
H1535,514.53,0.9981,
H1536,299.24,1.0826,High
H1537,264.69,0.3806,High
H1538,251.77,1.2433,High
H1539,1625.88,0.6199,High
H1540,240.67,0.3781,High
H1541,354.76,3.145,High
H1542,630.65,0.707,High
H1543,428.76,0.6647,High
H1544,1748.5,0.6464,High
H1545,198.07,0.8593,High
H1546,563.26,0.5299,High
H1547,916.3,1.0908,High
H1548,423.33,1.1916,High
H1549,800.38,0.5118,High
H1550,904.02,0.6306,High
H1551,833.05,0.519,High
H1552,704.06,0.5018,High
H1553,495.87,1.2417,High
H1554,681.67,1.0251,High
H1555,461.68,1.0638,High
H1556,682.74,0.4717,High
H1557,1577.69,0.5202,High
H1558,1539.67,1.8221,High
H1559,634.24,2.5218,High
H1560,1697.66,0.9673,High
H1561,511.21,0.4654,High
H1562,1759.55,0.6257,High
H1563,370.97,1.4692,High
H1564,538.84,0.373,High
H1565,568.78,1.8269,High
H1566,266.31,0.668,High
H1567,418.04,0.5315,High
H1568,1328.46,0.9988,High
H1569,524.61,1.3281,
H1570,292.11,0.4227,High
H1571,367.26,1.0762,High
H1572,215.9,0.5073,High
H1573,287.01,1.0208,High
H1574,372.89,0.4924,High
H1575,791.38,0.5509,High
H1576,345.46,0.5936,High
H1577,447.24,1.4404,High
H1578,253.8,2.025,High
H1579,625.94,0.9508,High
H1580,267.43,1.0162,High
H1581,504.87,2.1856,High
H1582,745.2,1.2267,High
H1583,312.69,2.8255,High
H1584,247.45,1.3485,High
H1585,399.15,1.0847,High
H1586,182.38,0.4334,High
H1587,519.62,2.5809,High
H1588,908.42,0.7458,High
H1589,1818.57,0.6271,High
H1590,908.8,0.6103,High
H1591,395.24,0.7593,High
H1592,417.34,0.9843,High
H1593,366.93,1.3175,High
H1594,478.84,0.4454,Medium
H1595,225.74,0.4311,High
H1596,373.72,0.5673,High
H1597,1178.67,0.4642,High
H1598,722.57,1.3842,High
H1599,385.15,2.4147,High
H1600,586.02,0.4807,High
H1601,750.94,0.5808,High
H1602,479.1,2.0673,High
H1603,277.67,0.7138,High
H1604,315.24,0.4575,High
H1605,216.49,2.1979,High
H1606,347.16,0.6532,High
H1607,578.78,2.1046,High
H1608,346.46,0.481,High
H1609,429.88,0.4505,High
H1610,209.84,2.2205,High
H1611,747.48,0.8784,High
H1612,355.45,1.2823,High
H1613,434.77,0.5865,High
H1614,634.35,0.5694,High
H1615,1271.25,0.5366,High
H1616,537.0,0.6475,High
H1617,223.82,0.6174,High
H1618,430.11,0.588,High
H1619,571.81,1.3604,High
H1620,495.29,1.5526,High
H1621,1523.23,0.9846,High
H1622,252.08,0.3714,High
H1623,367.46,0.5418,High
H1624,232.61,2.1185,High
H1625,294.42,2.2823,High
H1626,1554.76,0.4886,High
H1627,266.4,0.5068,High
H1628,429.48,0.5008,High
H1629,462.61,0.545,High
H1630,753.68,1.5734,High
H1631,1729.96,0.6293,High
H1632,1372.82,0.8938,High
H1633,219.11,0.4241,High
H1634,244.27,0.9383,High
H1635,465.83,2.4389,High
H1636,783.02,1.2178,High
H1637,791.2,2.6462,High
H1638,267.27,0.9411,High
H1639,750.84,2.4091,
H1640,936.5,0.5586,High
H1641,901.11,0.6299,High
H1642,544.74,1.1929,High
H1643,375.03,1.1365,High
H1644,565.96,0.6885,High
H1645,310.85,1.6051,High
H1646,394.33,0.7684,High
H1647,162.11,0.2956,Medium
H1648,306.54,1.1337,High
H1649,1178.1,0.4025,High
H1650,416.23,1.6291,High
H1651,412.02,0.7014,
H1652,1497.41,1.5846,High
H1653,399.31,1.1929,High
H1654,253.49,0.6731,High
H1655,250.63,0.9054,High
H1656,1058.39,1.0004,High
H1657,496.17,0.5483,High
H1658,296.55,1.129,High
H1659,195.75,0.3355,Medium
H1660,292.46,0.5883,High
H1661,1225.18,0.4162,High
H1662,272.71,1.5643,High
H1663,377.14,0.5824,High
H1664,341.61,0.6924,High
H1665,303.64,1.6982,High
H1666,764.04,0.9375,High
H1667,1524.05,0.8458,High
H1668,675.8,0.8069,High
H1669,1281.38,0.8635,High
H1670,360.08,1.0978,High
H1671,468.82,2.0744,High
H1672,229.82,0.4011,High
H1673,296.28,1.1386,High
H1674,296.85,0.5103,High
H1675,460.91,0.4646,High
H1676,1558.53,0.5713,High
H1677,181.54,0.418,High
H1678,298.48,0.4357,High
H1679,489.7,0.6787,Medium
H1680,369.82,0.6176,High
H1681,288.41,0.5244,High
H1682,414.01,0.6667,High
H1683,637.73,1.1053,High
H1684,281.98,0.8367,High
H1685,402.87,0.6875,High
H1686,299.2,0.8796,High
H1687,834.52,0.4831,High
H1688,217.66,0.4841,High
H1689,367.4,1.0705,High
H1690,253.74,0.5201,High
H1691,818.64,0.5544,High
H1692,1458.67,0.4331,High
H1693,536.38,1.1332,High
H1694,383.35,0.3746,High
H1695,300.65,0.524,High
H1696,384.82,0.9596,High
H1697,555.32,1.7354,High
H1698,487.17,0.6807,High
H1699,295.4,1.9307,High
H1700,220.39,2.0036,High
H1701,1439.72,0.8066,High
H1702,1723.26,0.5036,High
H1703,403.63,0.4907,High
H1704,319.68,0.3765,High
H1705,1700.16,1.1733,High
H1706,378.99,1.9603,High
H1707,442.77,3.3799,High
H1708,301.06,0.3581,High
H1709,169.85,0.643,High
H1710,524.17,2.347,High
H1711,406.02,0.5325,High
H1712,462.91,0.7484,High
H1713,385.34,0.5723,High
H1714,469.38,0.3255,Medium
H1715,293.85,0.703,High
H1716,292.36,1.0338,High
H1717,571.86,0.8889,High
H1718,212.85,0.7647,High
H1719,674.38,0.7522,High
H1720,299.85,0.5364,High
H1721,1504.37,2.0275,High
H1722,563.59,0.7724,High
H1723,251.87,0.8582,High
H1724,541.77,2.2828,High
H1725,277.02,0.5968,High
H1726,866.05,1.9182,High
H1727,202.51,1.082,High
H1728,1062.92,0.3274,High
H1729,671.16,1.2028,High
H1730,565.74,0.7614,High
H1731,292.16,0.6556,High
H1732,435.09,1.1137,High
H1733,460.08,0.4619,High
H1734,274.85,0.5618,High
H1735,380.31,0.7977,High
H1736,698.7,1.4824,
H1737,288.71,2.6983,High
H1738,319.87,0.4794,High
H1739,295.13,0.6261,High
H1740,234.08,0.4616,High
H1741,795.71,0.5667,High
H1742,362.13,0.7117,High
H1743,457.86,0.6307,Medium
H1744,279.15,0.4953,High
H1745,357.42,1.3152,High
H1746,296.85,2.0437,High
H1747,368.81,1.492,High
H1748,346.67,2.2482,High
H1749,399.6,1.6048,
H1750,183.49,1.102,High
H1751,197.04,0.3879,High
H1752,218.68,0.8372,High
H1753,1573.84,0.5339,High
H1754,374.46,0.4827,High
H1755,222.41,0.456,High
H1756,406.17,0.4649,High
H1757,1293.77,0.5707,High
H1758,365.46,0.3393,High
H1759,1322.46,0.899,High
H1760,303.73,1.1462,High
H1761,1223.53,0.4077,High
H1762,538.43,0.5656,High
H1763,1393.13,1.0081,High
H1764,680.36,1.8438,High
H1765,347.1,0.791,High
H1766,1191.17,1.0645,High
H1767,216.9,1.0992,High
H1768,1385.45,0.6815,High
H1769,302.0,1.926,High
H1770,1537.73,0.7223,High
H1771,368.87,0.9726,High
H1772,506.56,0.9266,High
H1773,272.39,0.5225,High
H1774,1930.7,1.8836,High
H1775,1455.43,0.4628,High
H1776,571.64,1.0765,High
H1777,1413.69,0.6551,High
H1778,209.51,0.8934,High
H1779,2025.29,1.0995,
H1780,625.16,1.8973,High
H1781,282.97,0.8025,High
H1782,927.2,0.869,High
H1783,263.38,0.6708,High
H1784,1297.25,0.374,High
H1785,270.06,0.5514,High
H1786,369.68,0.737,High
H1787,358.89,1.7422,High
H1788,910.65,1.6802,High
H1789,304.73,0.5849,High
H1790,340.1,1.8367,
H1791,356.92,0.779,High
H1792,369.34,0.4936,High
H1793,493.43,0.844,High
H1794,799.59,3.0519,High
H1795,340.21,0.5927,High
H1796,468.85,0.865,High
H1797,960.74,2.2395,High
H1798,1919.99,0.6723,High
H1799,310.49,0.5093,High
H1800,886.12,0.5857,High
H1801,396.27,0.5816,High
H1802,212.8,0.3152,High
H1803,303.21,1.5972,High
H1804,349.04,0.3613,High
H1805,544.72,0.7124,High
H1806,306.24,0.9375,High
H1807,1729.11,2.0536,High
H1808,848.0,0.6911,High
H1809,255.32,0.4848,High
H1810,599.23,0.5059,High
H1811,909.71,0.4418,Medium
H1812,311.65,3.0258,High
H1813,372.71,0.6264,High
H1814,345.57,0.3223,High
H1815,319.42,1.2746,High
H1816,1563.52,2.3798,High
H1817,499.75,0.7916,High
H1818,805.68,0.6407,High
H1819,726.52,0.4978,High
H1820,239.3,0.7063,High
H1821,231.0,0.5546,High
H1822,557.45,1.416,High
H1823,415.68,0.5432,High
H1824,251.34,1.0487,High
H1825,793.4,1.8094,High
H1826,288.09,0.705,High
H1827,306.42,0.3905,High
H1828,527.62,0.4496,High
H1829,252.14,0.3733,High
H1830,334.02,0.6817,High
H1831,234.91,0.7852,High
H1832,256.56,2.3324,High
H1833,286.47,1.5251,High
H1834,565.51,1.3872,High
H1835,252.59,0.5273,High
H1836,290.89,0.5706,High
H1837,454.03,0.4649,High
H1838,999.25,0.9467,High
H1839,311.28,0.586,High
H1840,210.67,1.0995,High
H1841,834.8,0.4845,High
H1842,1137.38,1.4601,High
H1843,901.52,0.5284,High
H1844,495.11,0.5753,High
H1845,395.34,0.5447,High
H1846,325.16,1.5887,High
H1847,343.38,0.6146,High
H1848,2038.72,2.2959,
H1849,670.44,1.3347,
H1850,1621.0,0.6105,High
H1851,1392.16,0.4295,High
H1852,744.12,1.2002,High
