household_id,month,year,billing_cycle,payment_status,rate_per_kwh,cost_usd,total_kwh
H0773,May,2025,2025-773-01 to 2025-773-30,Pending,0.18,391.01,2172.2799999999997
H0774,Jun,2025,2025-774-01 to 2025-774-30,Paid,0.18,292.99,1627.71
H0775,Jul,2025,2025-775-01 to 2025-775-30,Unpaid,0.18,272.7,1515.0000000000002
H0776,Aug,2025,2025-776-01 to 2025-776-30,Pending,0.18,299.61,1664.49
H0777,Sep,2025,2025-777-01 to 2025-777-30,Unpaid,0.18,285.28,1584.8899999999999
H0778,Oct,2025,2025-778-01 to 2025-778-30,Paid,0.18,281.32,1562.8999999999999
H0779,Nov,2025,2025-779-01 to 2025-779-30,Paid,0.18,303.22,1684.5299999999997
H0780,Dec,2025,2025-780-01 to 2025-780-30,Paid,0.18,206.59,1147.7199999999998
H0781,Jan,2025,2025-781-01 to 2025-781-30,Paid,0.18,218.9,1216.12
H0782,Feb,2025,2025-782-01 to 2025-782-30,Paid,0.18,265.25,1473.59
H0783,Mar,2025,2025-783-01 to 2025-783-30,Pending,0.18,287.16,1595.34
H0784,Apr,2025,2025-784-01 to 2025-784-30,Pending,0.18,236.21,1312.27
H0785,May,2025,2025-785-01 to 2025-785-30,Unpaid,0.18,310.62,1725.66
H0786,Jun,2025,2025-786-01 to 2025-786-30,Unpaid,0.18,312.28,1734.8799999999999
H0787,Jul,2025,2025-787-01 to 2025-787-30,Unpaid,0.18,315.68,1753.7700000000002
H0788,Aug,2025,2025-788-01 to 2025-788-30,Paid,0.18,300.21,1667.8600000000001
H0789,Sep,2025,2025-789-01 to 2025-789-30,Paid,0.18,308.66,1714.8
H0790,Oct,2025,2025-790-01 to 2025-790-30,Unpaid,0.18,320.13,1778.51
H0791,Nov,2025,2025-791-01 to 2025-791-30,Pending,0.18,318.96,1771.9899999999998
H0792,Dec,2025,2025-792-01 to 2025-792-30,Paid,0.18,323.78,1798.76
H0793,Jan,2025,2025-793-01 to 2025-793-30,Unpaid,0.18,308.17,1712.0700000000002
H0794,Feb,2025,2025-794-01 to 2025-794-30,Unpaid,0.18,317.29,1762.73
H0795,Mar,2025,2025-795-01 to 2025-795-30,Paid,0.18,271.63,1509.0800000000002
H0796,Apr,2025,2025-796-01 to 2025-796-30,Pending,0.18,254.19,1412.15
H0797,May,2025,2025-797-01 to 2025-797-30,Pending,0.18,201.29,1118.26
H0798,Jun,2025,2025-798-01 to 2025-798-30,Pending,0.18,250.34,1390.76
H0799,Jul,2025,2025-799-01 to 2025-799-30,Paid,0.18,314.27,1745.94
H0800,Aug,2025,2025-800-01 to 2025-800-30,Pending,0.18,356.25,1979.19
H0801,Sep,2025,2025-801-01 to 2025-801-30,Unpaid,0.18,316.91,1760.5900000000001
H0802,Oct,2025,2025-802-01 to 2025-802-30,Pending,0.18,253.0,1405.5700000000002
H0803,Nov,2025,2025-803-01 to 2025-803-30,Paid,0.18,251.93,1399.6
H0804,Dec,2025,2025-804-01 to 2025-804-30,Paid,0.18,307.44,1708.0099999999998
H0805,Jan,2025,2025-805-01 to 2025-805-30,Pending,0.18,293.12,1628.42
H0806,Feb,2025,2025-806-01 to 2025-806-30,Unpaid,0.18,282.35,1568.6200000000001
H0807,Mar,2025,2025-807-01 to 2025-807-30,Paid,0.18,337.07,1872.59
H0808,Apr,2025,2025-808-01 to 2025-808-30,Unpaid,0.18,265.21,1473.37
H0809,May,2025,2025-809-01 to 2025-809-30,Paid,0.18,234.17,1300.93
H0810,Jun,2025,2025-810-01 to 2025-810-30,Paid,0.18,162.13,900.73
H0811,Jul,2025,2025-811-01 to 2025-811-30,Paid,0.18,175.86,977.0
H0812,Aug,2025,2025-812-01 to 2025-812-30,Unpaid,0.18,217.1,1206.09
H0813,Sep,2025,2025-813-01 to 2025-813-30,Pending,0.18,331.27,1840.39
H0814,Oct,2025,2025-814-01 to 2025-814-30,Paid,0.18,329.94,1833.01
H0815,Nov,2025,2025-815-01 to 2025-815-30,Unpaid,0.18,369.34,2051.89
H0816,Dec,2025,2025-816-01 to 2025-816-30,Unpaid,0.18,347.3,1929.4699999999998
H0817,Jan,2025,2025-817-01 to 2025-817-30,Pending,0.18,292.69,1626.0700000000002
H0818,Feb,2025,2025-818-01 to 2025-818-30,Unpaid,0.18,311.27,1729.2799999999997
H0819,Mar,2025,2025-819-01 to 2025-819-30,Pending,0.18,302.89,1682.6999999999998
H0820,Apr,2025,2025-820-01 to 2025-820-30,Unpaid,0.18,294.66,1636.9899999999998
H0821,May,2025,2025-821-01 to 2025-821-30,Pending,0.18,271.25,1506.94
H0822,Jun,2025,2025-822-01 to 2025-822-30,Paid,0.18,359.09,1994.9299999999998
H0823,Jul,2025,2025-823-01 to 2025-823-30,Paid,0.18,252.88,1404.8799999999999
H0824,Aug,2025,2025-824-01 to 2025-824-30,Unpaid,0.18,283.0,1572.22
H0825,Sep,2025,2025-825-01 to 2025-825-30,Paid,0.18,306.73,1704.0699999999997
H0826,Oct,2025,2025-826-01 to 2025-826-30,Paid,0.18,219.55,1219.72
H0827,Nov,2025,2025-827-01 to 2025-827-30,Pending,0.18,227.23,1262.3999999999999
H0828,Dec,2025,2025-828-01 to 2025-828-30,Unpaid,0.18,257.2,1428.91
H0829,Jan,2025,2025-829-01 to 2025-829-30,Unpaid,0.18,246.81,1371.16
H0830,Feb,2025,2025-830-01 to 2025-830-30,Unpaid,0.18,216.99,1205.49
H0831,Mar,2025,2025-831-01 to 2025-831-30,Unpaid,0.18,325.98,1811.0100000000002
H0832,Apr,2025,2025-832-01 to 2025-832-30,Paid,0.18,213.06,1183.6499999999999
H0833,May,2025,2025-833-01 to 2025-833-30,Unpaid,0.18,278.65,1548.0600000000002
H0834,Jun,2025,2025-834-01 to 2025-834-30,Paid,0.18,337.42,1874.5800000000002
H0835,Jul,2025,2025-835-01 to 2025-835-30,Unpaid,0.18,287.96,1599.7800000000002
H0836,Aug,2025,2025-836-01 to 2025-836-30,Unpaid,0.18,370.57,2058.72
H0837,Sep,2025,2025-837-01 to 2025-837-30,Pending,0.18,265.46,1474.76
H0838,Oct,2025,2025-838-01 to 2025-838-30,Paid,0.18,327.43,1819.08
H0839,Nov,2025,2025-839-01 to 2025-839-30,Unpaid,0.18,258.0,1433.3400000000001
H0840,Dec,2025,2025-840-01 to 2025-840-30,Pending,0.18,284.63,1581.3
H0841,Jan,2025,2025-841-01 to 2025-841-30,Pending,0.18,310.93,1727.39
H0842,Feb,2025,2025-842-01 to 2025-842-30,Paid,0.18,315.08,1750.42
H0843,Mar,2025,2025-843-01 to 2025-843-30,Unpaid,0.18,358.23,1990.1699999999998
H0844,Apr,2025,2025-844-01 to 2025-844-30,Unpaid,0.18,255.54,1419.64
H0845,May,2025,2025-845-01 to 2025-845-30,Unpaid,0.18,259.93,1444.06
H0846,Jun,2025,2025-846-01 to 2025-846-30,Paid,0.18,316.12,1756.24
H0847,Jul,2025,2025-847-01 to 2025-847-30,Paid,0.18,321.42,1785.67
H0848,Aug,2025,2025-848-01 to 2025-848-30,Paid,0.18,352.47,1958.1900000000003
H0849,Sep,2025,2025-849-01 to 2025-849-30,Pending,0.18,302.48,1680.4700000000003
H0850,Oct,2025,2025-850-01 to 2025-850-30,Pending,0.18,344.88,1916.0
H0851,Nov,2025,2025-851-01 to 2025-851-30,Pending,0.18,265.44,1474.6899999999998
H0852,Dec,2025,2025-852-01 to 2025-852-30,Pending,0.18,282.05,1566.96
H0853,Jan,2025,2025-853-01 to 2025-853-30,Unpaid,0.18,323.74,1798.55
H0854,Feb,2025,2025-854-01 to 2025-854-30,Unpaid,0.18,282.05,1566.97
H0855,Mar,2025,2025-855-01 to 2025-855-30,Unpaid,0.18,279.7,1553.88
H0856,Apr,2025,2025-856-01 to 2025-856-30,Unpaid,0.18,262.8,1459.98
H0857,May,2025,2025-857-01 to 2025-857-30,Pending,0.18,295.25,1640.27
H0858,Jun,2025,2025-858-01 to 2025-858-30,Unpaid,0.18,324.57,1803.15
H0859,Jul,2025,2025-859-01 to 2025-859-30,Paid,0.18,315.63,1753.5099999999998
H0860,Aug,2025,2025-860-01 to 2025-860-30,Unpaid,0.18,251.97,1399.84
H0861,Sep,2025,2025-861-01 to 2025-861-30,Unpaid,0.18,323.89,1799.41
H0862,Oct,2025,2025-862-01 to 2025-862-30,Unpaid,0.18,211.1,1172.77
H0863,Nov,2025,2025-863-01 to 2025-863-30,Unpaid,0.18,308.54,1714.13
H0864,Dec,2025,2025-864-01 to 2025-864-30,Paid,0.18,253.47,1408.1399999999996
H0865,Jan,2025,2025-865-01 to 2025-865-30,Unpaid,0.18,305.99,1699.94
H0866,Feb,2025,2025-866-01 to 2025-866-30,Pending,0.18,229.71,1276.15
H0867,Mar,2025,2025-867-01 to 2025-867-30,Pending,0.18,217.19,1206.6200000000001
H0868,Apr,2025,2025-868-01 to 2025-868-30,Pending,0.18,338.61,1881.17
H0869,May,2025,2025-869-01 to 2025-869-30,Unpaid,0.18,205.76,1143.09
H0870,Jun,2025,2025-870-01 to 2025-870-30,Paid,0.18,190.8,1060.01
H0871,Jul,2025,2025-871-01 to 2025-871-30,Unpaid,0.18,354.47,1969.27
H0872,Aug,2025,2025-872-01 to 2025-872-30,Pending,0.18,262.46,1458.12
H0873,Sep,2025,2025-873-01 to 2025-873-30,Paid,0.18,249.13,1384.05
H0874,Oct,2025,2025-874-01 to 2025-874-30,Unpaid,0.18,305.04,1694.69
H0875,Nov,2025,2025-875-01 to 2025-875-30,Paid,0.18,319.79,1776.6000000000001
H0876,Dec,2025,2025-876-01 to 2025-876-30,Pending,0.18,260.89,1449.39
H0877,Jan,2025,2025-877-01 to 2025-877-30,Unpaid,0.18,373.58,2075.42
H0878,Feb,2025,2025-878-01 to 2025-878-30,Pending,0.18,236.07,1311.4900000000002
H0879,Mar,2025,2025-879-01 to 2025-879-30,Pending,0.18,287.7,1598.34
H0880,Apr,2025,2025-880-01 to 2025-880-30,Paid,0.18,373.18,2073.2000000000003
H0881,May,2025,2025-881-01 to 2025-881-30,Paid,0.18,321.08,1783.7999999999997
H0882,Jun,2025,2025-882-01 to 2025-882-30,Paid,0.18,328.55,1825.3
H0883,Jul,2025,2025-883-01 to 2025-883-30,Paid,0.18,164.26,912.5400000000001
H0884,Aug,2025,2025-884-01 to 2025-884-30,Paid,0.18,350.4,1946.6799999999998
H0885,Sep,2025,2025-885-01 to 2025-885-30,Paid,0.18,334.97,1860.93
H0886,Oct,2025,2025-886-01 to 2025-886-30,Paid,0.18,248.46,1380.3500000000001
H0887,Nov,2025,2025-887-01 to 2025-887-30,Pending,0.18,383.61,2131.1600000000003
H0888,Dec,2025,2025-888-01 to 2025-888-30,Pending,0.18,176.2,978.91
H0889,Jan,2025,2025-889-01 to 2025-889-30,Unpaid,0.18,314.54,1747.4399999999998
H0890,Feb,2025,2025-890-01 to 2025-890-30,Pending,0.18,295.14,1639.6599999999999
H0891,Mar,2025,2025-891-01 to 2025-891-30,Unpaid,0.18,332.75,1848.6200000000001
H0892,Apr,2025,2025-892-01 to 2025-892-30,Unpaid,0.18,327.29,1818.2900000000004
H0893,May,2025,2025-893-01 to 2025-893-30,Unpaid,0.18,293.53,1630.74
H0894,Jun,2025,2025-894-01 to 2025-894-30,Unpaid,0.18,249.56,1386.47
H0895,Jul,2025,2025-895-01 to 2025-895-30,Unpaid,0.18,240.57,1336.5
H0896,Aug,2025,2025-896-01 to 2025-896-30,Pending,0.18,229.21,1273.37
H0897,Sep,2025,2025-897-01 to 2025-897-30,Paid,0.18,204.04,1133.56
H0898,Oct,2025,2025-898-01 to 2025-898-30,Paid,0.18,366.55,2036.3799999999997
H0899,Nov,2025,2025-899-01 to 2025-899-30,Pending,0.18,270.12,1500.6699999999998
H0900,Dec,2025,2025-900-01 to 2025-900-30,Paid,0.18,315.82,1754.5600000000002
H0901,Jan,2025,2025-901-01 to 2025-901-30,Pending,0.18,264.31,1468.4099999999999
H0902,Feb,2025,2025-902-01 to 2025-902-30,Paid,0.18,258.96,1438.6599999999999
H0903,Mar,2025,2025-903-01 to 2025-903-30,Pending,0.18,339.98,1888.78
H0904,Apr,2025,2025-904-01 to 2025-904-30,Unpaid,0.18,245.27,1362.6100000000001
H0905,May,2025,2025-905-01 to 2025-905-30,Pending,0.18,256.13,1422.9300000000003
H0906,Jun,2025,2025-906-01 to 2025-906-30,Unpaid,0.18,233.94,1299.6399999999999
H0907,Jul,2025,2025-907-01 to 2025-907-30,Pending,0.18,240.56,1336.46
H0908,Aug,2025,2025-908-01 to 2025-908-30,Unpaid,0.18,294.87,1638.1899999999998
H0909,Sep,2025,2025-909-01 to 2025-909-30,Paid,0.18,256.09,1422.75
H0910,Oct,2025,2025-910-01 to 2025-910-30,Pending,0.18,264.32,1468.4700000000003
H0911,Nov,2025,2025-911-01 to 2025-911-30,Paid,0.18,266.99,1483.29
H0912,Dec,2025,2025-912-01 to 2025-912-30,Paid,0.18,218.9,1216.1100000000001
H0913,Jan,2025,2025-913-01 to 2025-913-30,Paid,0.18,314.96,1749.7700000000002
H0914,Feb,2025,2025-914-01 to 2025-914-30,Paid,0.18,233.49,1297.18
H0915,Mar,2025,2025-915-01 to 2025-915-30,Unpaid,0.18,203.85,1132.5
H0916,Apr,2025,2025-916-01 to 2025-916-30,Unpaid,0.18,206.87,1149.2700000000002
H0917,May,2025,2025-917-01 to 2025-917-30,Paid,0.18,215.01,1194.52
H0918,Jun,2025,2025-918-01 to 2025-918-30,Unpaid,0.18,253.7,1409.4499999999998
H0919,Jul,2025,2025-919-01 to 2025-919-30,Paid,0.18,268.97,1494.2700000000002
H0920,Aug,2025,2025-920-01 to 2025-920-30,Pending,0.18,254.62,1414.5499999999997
H0921,Sep,2025,2025-921-01 to 2025-921-30,Pending,0.18,288.45,1602.5200000000002
H0922,Oct,2025,2025-922-01 to 2025-922-30,Unpaid,0.18,300.81,1671.19
H0923,Nov,2025,2025-923-01 to 2025-923-30,Paid,0.18,355.53,1975.14
H0924,Dec,2025,2025-924-01 to 2025-924-30,Pending,0.18,328.81,1826.7299999999998
H0925,Jan,2025,2025-925-01 to 2025-925-30,Paid,0.18,239.39,1329.9199999999998
H0926,Feb,2025,2025-926-01 to 2025-926-30,Paid,0.18,324.92,1805.09
H0927,Mar,2025,2025-927-01 to 2025-927-30,Unpaid,0.18,241.09,1339.3999999999999
H0928,Apr,2025,2025-928-01 to 2025-928-30,Unpaid,0.18,283.02,1572.35
H0929,May,2025,2025-929-01 to 2025-929-30,Unpaid,0.18,305.87,1699.2600000000002
H0930,Jun,2025,2025-930-01 to 2025-930-30,Pending,0.18,371.12,2061.78
H0931,Jul,2025,2025-931-01 to 2025-931-30,Pending,0.18,291.93,1621.83
H0932,Aug,2025,2025-932-01 to 2025-932-30,Unpaid,0.18,265.38,1474.34
H0933,Sep,2025,2025-933-01 to 2025-933-30,Paid,0.18,304.54,1691.88
H0934,Oct,2025,2025-934-01 to 2025-934-30,Pending,0.18,296.98,1649.8999999999999
H0935,Nov,2025,2025-935-01 to 2025-935-30,Unpaid,0.18,211.13,1172.93
H0936,Dec,2025,2025-936-01 to 2025-936-30,Pending,0.18,205.53,1141.81
H0937,Jan,2025,2025-937-01 to 2025-937-30,Unpaid,0.18,239.97,1333.16
H0938,Feb,2025,2025-938-01 to 2025-938-30,Unpaid,0.18,253.65,1409.1599999999999
H0939,Mar,2025,2025-939-01 to 2025-939-30,Pending,0.18,276.55,1536.3999999999999
H0940,Apr,2025,2025-940-01 to 2025-940-30,Paid,0.18,211.92,1177.34
H0941,May,2025,2025-941-01 to 2025-941-30,Pending,0.18,257.45,1430.2799999999997
H0942,Jun,2025,2025-942-01 to 2025-942-30,Unpaid,0.18,319.11,1772.8600000000001
H0943,Jul,2025,2025-943-01 to 2025-943-30,Pending,0.18,299.42,1663.43
H0944,Aug,2025,2025-944-01 to 2025-944-30,Unpaid,0.18,259.78,1443.2100000000003
H0945,Sep,2025,2025-945-01 to 2025-945-30,Paid,0.18,333.39,1852.1799999999998
H0946,Oct,2025,2025-946-01 to 2025-946-30,Pending,0.18,262.12,1456.2000000000003
H0947,Nov,2025,2025-947-01 to 2025-947-30,Paid,0.18,367.86,2043.69
H0948,Dec,2025,2025-948-01 to 2025-948-30,Pending,0.18,284.68,1581.5800000000002
H0949,Jan,2025,2025-949-01 to 2025-949-30,Unpaid,0.18,342.13,1900.73
H0950,Feb,2025,2025-950-01 to 2025-950-30,Pending,0.18,306.67,1703.7
H0951,Mar,2025,2025-951-01 to 2025-951-30,Paid,0.18,270.95,1505.2500000000002
H0952,Apr,2025,2025-952-01 to 2025-952-30,Pending,0.18,380.28,2112.66
H0953,May,2025,2025-953-01 to 2025-953-30,Paid,0.18,254.75,1415.2999999999997
H0954,Jun,2025,2025-954-01 to 2025-954-30,Unpaid,0.18,330.71,1837.2599999999998
H0955,Jul,2025,2025-955-01 to 2025-955-30,Pending,0.18,360.08,2000.44
H0956,Aug,2025,2025-956-01 to 2025-956-30,Paid,0.18,334.09,1856.0299999999997
H0957,Sep,2025,2025-957-01 to 2025-957-30,Pending,0.18,327.0,1816.67
H0958,Oct,2025,2025-958-01 to 2025-958-30,Pending,0.18,301.06,1672.58
H0959,Nov,2025,2025-959-01 to 2025-959-30,Unpaid,0.18,312.03,1733.5
H0960,Dec,2025,2025-960-01 to 2025-960-30,Paid,0.18,283.74,1576.35
H0961,Jan,2025,2025-961-01 to 2025-961-30,Pending,0.18,275.38,1529.8799999999999
H0962,Feb,2025,2025-962-01 to 2025-962-30,Unpaid,0.18,262.77,1459.81
H0963,Mar,2025,2025-963-01 to 2025-963-30,Unpaid,0.18,293.21,1628.93
H0964,Apr,2025,2025-964-01 to 2025-964-30,Paid,0.18,211.17,1173.1599999999999
H0965,May,2025,2025-965-01 to 2025-965-30,Paid,0.18,173.79,965.49
H0966,Jun,2025,2025-966-01 to 2025-966-30,Unpaid,0.18,268.54,1491.9099999999999
H0967,Jul,2025,2025-967-01 to 2025-967-30,Unpaid,0.18,287.26,1595.87
H0968,Aug,2025,2025-968-01 to 2025-968-30,Unpaid,0.18,243.59,1353.2800000000002
H0969,Sep,2025,2025-969-01 to 2025-969-30,Paid,0.18,239.82,1332.32
H0970,Oct,2025,2025-970-01 to 2025-970-30,Paid,0.18,224.96,1249.76
H0971,Nov,2025,2025-971-01 to 2025-971-30,Pending,0.18,354.12,1967.36
H0972,Dec,2025,2025-972-01 to 2025-972-30,Unpaid,0.18,293.58,1631.02
H0973,Jan,2025,2025-973-01 to 2025-973-30,Pending,0.18,321.47,1785.9399999999998
H0974,Feb,2025,2025-974-01 to 2025-974-30,Paid,0.18,242.99,1349.96
H0975,Mar,2025,2025-975-01 to 2025-975-30,Pending,0.18,241.26,1340.3599999999997
H0976,Apr,2025,2025-976-01 to 2025-976-30,Pending,0.18,290.93,1616.2800000000002
H0977,May,2025,2025-977-01 to 2025-977-30,Unpaid,0.18,235.34,1307.4699999999998
H0978,Jun,2025,2025-978-01 to 2025-978-30,Paid,0.18,337.77,1876.48
H0979,Jul,2025,2025-979-01 to 2025-979-30,Pending,0.18,296.84,1649.11
H0980,Aug,2025,2025-980-01 to 2025-980-30,Pending,0.18,272.94,1516.3300000000002
H0981,Sep,2025,2025-981-01 to 2025-981-30,Paid,0.18,225.86,1254.75
H0982,Oct,2025,2025-982-01 to 2025-982-30,Pending,0.18,269.75,1498.6
H0983,Nov,2025,2025-983-01 to 2025-983-30,Pending,0.18,311.87,1732.5900000000001
H0984,Dec,2025,2025-984-01 to 2025-984-30,Pending,0.18,276.7,1537.22
H0985,Jan,2025,2025-985-01 to 2025-985-30,Pending,0.18,307.45,1708.08
H0986,Feb,2025,2025-986-01 to 2025-986-30,Pending,0.18,319.25,1773.6200000000001
H0987,Mar,2025,2025-987-01 to 2025-987-30,Unpaid,0.18,317.46,1763.69
H0988,Apr,2025,2025-988-01 to 2025-988-30,Paid,0.18,196.5,1091.67
H0989,May,2025,2025-989-01 to 2025-989-30,Pending,0.18,288.68,1603.77
H0990,Jun,2025,2025-990-01 to 2025-990-30,Unpaid,0.18,270.76,1504.23
H0991,Jul,2025,2025-991-01 to 2025-991-30,Unpaid,0.18,266.77,1482.08
H0992,Aug,2025,2025-992-01 to 2025-992-30,Paid,0.18,256.13,1422.93
H0993,Sep,2025,2025-993-01 to 2025-993-30,Pending,0.18,311.52,1730.6599999999999
H0994,Oct,2025,2025-994-01 to 2025-994-30,Unpaid,0.18,303.8,1687.77
H0995,Nov,2025,2025-995-01 to 2025-995-30,Pending,0.18,280.48,1558.2
H0996,Dec,2025,2025-996-01 to 2025-996-30,Pending,0.18,350.11,1945.0800000000002
H0997,Jan,2025,2025-997-01 to 2025-997-30,Unpaid,0.18,273.53,1519.59
H0998,Feb,2025,2025-998-01 to 2025-998-30,Paid,0.18,241.61,1342.3
H0999,Mar,2025,2025-999-01 to 2025-999-30,Pending,0.18,262.69,1459.4099999999999
H1000,Apr,2025,2025-1000-01 to 2025-1000-30,Unpaid,0.18,273.61,1520.0500000000002
H1001,May,2025,2025-1001-01 to 2025-1001-30,Paid,0.18,201.79,1121.07
H1002,Jun,2025,2025-1002-01 to 2025-1002-30,Paid,0.18,230.28,1279.3500000000001
H1003,Jul,2025,2025-1003-01 to 2025-1003-30,Unpaid,0.18,310.16,1723.1299999999999
H1004,Aug,2025,2025-1004-01 to 2025-1004-30,Paid,0.18,319.66,1775.8899999999999
H1005,Sep,2025,2025-1005-01 to 2025-1005-30,Unpaid,0.18,214.65,1192.4899999999998
H1006,Oct,2025,2025-1006-01 to 2025-1006-30,Unpaid,0.18,294.73,1637.39
H1007,Nov,2025,2025-1007-01 to 2025-1007-30,Unpaid,0.18,325.58,1808.7899999999997
H1008,Dec,2025,2025-1008-01 to 2025-1008-30,Unpaid,0.18,272.66,1514.7600000000002
H1009,Jan,2025,2025-1009-01 to 2025-1009-30,Unpaid,0.18,319.44,1774.69
H1010,Feb,2025,2025-1010-01 to 2025-1010-30,Paid,0.18,352.23,1956.84
H1011,Mar,2025,2025-1011-01 to 2025-1011-30,Pending,0.18,304.28,1690.44
H1012,Apr,2025,2025-1012-01 to 2025-1012-30,Unpaid,0.18,314.63,1747.9699999999998
H1013,May,2025,2025-1013-01 to 2025-1013-30,Pending,0.18,356.71,1981.7000000000005
H1014,Jun,2025,2025-1014-01 to 2025-1014-30,Pending,0.18,298.36,1657.53
H1015,Jul,2025,2025-1015-01 to 2025-1015-30,Paid,0.18,301.94,1677.45
H1016,Aug,2025,2025-1016-01 to 2025-1016-30,Unpaid,0.18,281.83,1565.7100000000003
H1017,Sep,2025,2025-1017-01 to 2025-1017-30,Paid,0.18,304.95,1694.1899999999998
H1018,Oct,2025,2025-1018-01 to 2025-1018-30,Paid,0.18,293.01,1627.86
H1019,Nov,2025,2025-1019-01 to 2025-1019-30,Pending,0.18,194.48,1080.45
H1020,Dec,2025,2025-1020-01 to 2025-1020-30,Paid,0.18,299.0,1661.12
H1021,Jan,2025,2025-1021-01 to 2025-1021-30,Pending,0.18,268.76,1493.1200000000001
H1022,Feb,2025,2025-1022-01 to 2025-1022-30,Paid,0.18,349.0,1938.9
H1023,Mar,2025,2025-1023-01 to 2025-1023-30,Unpaid,0.18,242.18,1345.44
H1024,Apr,2025,2025-1024-01 to 2025-1024-30,Paid,0.18,265.98,1477.64
H1025,May,2025,2025-1025-01 to 2025-1025-30,Paid,0.18,290.48,1613.78
H1026,Jun,2025,2025-1026-01 to 2025-1026-30,Paid,0.18,287.07,1594.82
H1027,Jul,2025,2025-1027-01 to 2025-1027-30,Pending,0.18,243.63,1353.5100000000002
H1028,Aug,2025,2025-1028-01 to 2025-1028-30,Unpaid,0.18,190.32,1057.34
H1029,Sep,2025,2025-1029-01 to 2025-1029-30,Paid,0.18,240.8,1337.77
H1030,Oct,2025,2025-1030-01 to 2025-1030-30,Pending,0.18,343.22,1906.78
H1031,Nov,2025,2025-1031-01 to 2025-1031-30,Pending,0.18,292.23,1623.52
H1032,Dec,2025,2025-1032-01 to 2025-1032-30,Unpaid,0.18,261.48,1452.67
H1033,Jan,2025,2025-1033-01 to 2025-1033-30,Pending,0.18,182.35,1013.03
H1034,Feb,2025,2025-1034-01 to 2025-1034-30,Unpaid,0.18,282.52,1569.5800000000002
H1035,Mar,2025,2025-1035-01 to 2025-1035-30,Pending,0.18,237.39,1318.8200000000002
H1036,Apr,2025,2025-1036-01 to 2025-1036-30,Paid,0.18,227.27,1262.6
H1037,May,2025,2025-1037-01 to 2025-1037-30,Pending,0.18,266.5,1480.55
H1038,Jun,2025,2025-1038-01 to 2025-1038-30,Paid,0.18,309.33,1718.5
H1039,Jul,2025,2025-1039-01 to 2025-1039-30,Pending,0.18,273.79,1521.04
H1040,Aug,2025,2025-1040-01 to 2025-1040-30,Paid,0.18,271.57,1508.6999999999998
H1041,Sep,2025,2025-1041-01 to 2025-1041-30,Unpaid,0.18,289.0,1605.57
H1042,Oct,2025,2025-1042-01 to 2025-1042-30,Unpaid,0.18,274.67,1525.9700000000003
H1043,Nov,2025,2025-1043-01 to 2025-1043-30,Unpaid,0.18,260.67,1448.1499999999996
H1044,Dec,2025,2025-1044-01 to 2025-1044-30,Pending,0.18,238.9,1327.24
H1045,Jan,2025,2025-1045-01 to 2025-1045-30,Unpaid,0.18,268.32,1490.6399999999999
H1046,Feb,2025,2025-1046-01 to 2025-1046-30,Pending,0.18,255.99,1422.1499999999996
H1047,Mar,2025,2025-1047-01 to 2025-1047-30,Unpaid,0.18,301.27,1673.75
H1048,Apr,2025,2025-1048-01 to 2025-1048-30,Pending,0.18,275.66,1531.44
H1049,May,2025,2025-1049-01 to 2025-1049-30,Unpaid,0.18,353.06,1961.4699999999998
H1050,Jun,2025,2025-1050-01 to 2025-1050-30,Pending,0.18,288.7,1603.9099999999999
H1051,Jul,2025,2025-1051-01 to 2025-1051-30,Pending,0.18,241.07,1339.26
H1052,Aug,2025,2025-1052-01 to 2025-1052-30,Pending,0.18,290.96,1616.4500000000003
H1053,Sep,2025,2025-1053-01 to 2025-1053-30,Paid,0.18,246.42,1368.98
H1054,Oct,2025,2025-1054-01 to 2025-1054-30,Unpaid,0.18,357.04,1983.5499999999997
H1055,Nov,2025,2025-1055-01 to 2025-1055-30,Pending,0.18,276.78,1537.69
H1056,Dec,2025,2025-1056-01 to 2025-1056-30,Pending,0.18,259.42,1441.22
H1057,Jan,2025,2025-1057-01 to 2025-1057-30,Paid,0.18,260.18,1445.45
H1058,Feb,2025,2025-1058-01 to 2025-1058-30,Pending,0.18,283.7,1576.1
H1059,Mar,2025,2025-1059-01 to 2025-1059-30,Unpaid,0.18,287.48,1597.09
H1060,Apr,2025,2025-1060-01 to 2025-1060-30,Paid,0.18,230.92,1282.91
H1061,May,2025,2025-1061-01 to 2025-1061-30,Paid,0.18,268.64,1492.4700000000003
H1062,Jun,2025,2025-1062-01 to 2025-1062-30,Unpaid,0.18,298.86,1660.32
H1063,Jul,2025,2025-1063-01 to 2025-1063-30,Pending,0.18,295.81,1643.3700000000001
H1064,Aug,2025,2025-1064-01 to 2025-1064-30,Pending,0.18,355.06,1972.56
H1065,Sep,2025,2025-1065-01 to 2025-1065-30,Paid,0.18,215.28,1195.9899999999998
H1066,Oct,2025,2025-1066-01 to 2025-1066-30,Paid,0.18,239.6,1331.0900000000001
H1067,Nov,2025,2025-1067-01 to 2025-1067-30,Paid,0.18,288.5,1602.77
H1068,Dec,2025,2025-1068-01 to 2025-1068-30,Paid,0.18,263.13,1461.85
H1069,Jan,2025,2025-1069-01 to 2025-1069-30,Unpaid,0.18,259.06,1439.2199999999998
H1070,Feb,2025,2025-1070-01 to 2025-1070-30,Pending,0.18,325.23,1806.81
H1071,Mar,2025,2025-1071-01 to 2025-1071-30,Paid,0.18,289.56,1608.69
