household_id,kwh_usage_fridge,kwh_usage_heater,kwh_usage_AC,kwh_usage_washer,kwh_usage_dryer,kwh_usage_oven,kwh_usage_microwave,kwh_usage_TV,kwh_usage_computer,kwh_usage_lighting
H0823,70.2,192.94,38.54,276.52,70.79,123.61,273.94,14.0,53.85,290.49
H0824,32.46,297.29,90.39,146.39,231.68,102.86,211.16,183.71,86.6,189.68
H0825,285.83,199.69,218.35,94.58,195.13,197.7,93.35,64.48,164.58,190.38
H0826,58.23,231.5,36.95,219.33,23.32,45.02,184.26,170.01,10.12,240.98
H0827,89.02,249.17,42.6,111.89,161.68,99.54,65.16,105.72,70.8,266.82
H0828,55.78,104.09,291.15,16.22,169.27,118.91,272.73,255.35,113.18,32.23
H0829,291.36,49.94,31.04,100.49,16.84,299.47,133.62,92.89,239.3,116.21
H0830,98.06,298.69,84.93,16.65,119.67,54.07,67.26,39.12,230.13,196.91
H0831,232.37,262.22,201.09,228.63,283.12,122.93,179.06,105.06,151.11,45.42
H0832,131.15,77.09,134.89,26.33,162.94,68.05,94.37,274.33,170.73,43.77
H0833,80.18,102.12,51.1,105.67,276.4,218.75,251.16,194.7,161.14,106.84
H0834,283.02,199.49,85.96,206.6,274.44,259.31,244.15,76.41,175.24,69.96
H0835,95.44,168.83,243.54,251.62,142.06,178.28,262.68,146.66,46.89,63.78
H0836,211.21,294.59,245.25,153.61,123.0,91.58,157.25,268.78,239.23,274.22
H0837,141.5,211.4,87.21,260.84,174.77,184.09,18.68,249.86,135.73,10.68
H0838,109.52,284.18,210.46,130.28,287.85,288.75,81.32,126.19,52.73,247.8
H0839,104.77,71.98,123.49,286.92,95.9,144.3,104.43,216.62,35.29,249.64
H0840,47.84,182.77,197.96,273.59,106.02,179.17,250.17,35.29,151.99,156.5
H0841,70.78,76.88,269.42,249.72,276.5,76.05,141.84,127.53,170.19,268.48
H0842,71.24,94.28,242.69,198.76,168.01,29.31,189.24,247.28,230.74,278.87
H0843,254.7,236.92,147.7,210.11,225.17,125.75,266.12,281.26,73.7,168.74
H0844,168.76,124.85,239.77,153.12,184.45,75.83,144.48,42.48,166.91,118.99
H0845,246.84,77.88,17.26,245.4,30.54,38.61,192.3,267.3,278.64,49.29
H0846,293.88,199.7,145.32,17.36,266.55,236.5,196.61,94.77,174.52,131.03
H0847,38.01,54.35,155.96,69.5,257.67,285.59,286.86,196.9,234.85,205.98
H0848,169.03,249.84,280.0,138.17,221.4,277.07,127.01,243.36,190.42,61.89
H0849,155.4,167.32,43.11,121.09,146.93,136.81,258.24,262.36,252.07,137.14
H0850,288.81,81.83,129.78,84.23,210.5,240.39,249.18,117.18,215.39,298.71
H0851,17.34,149.35,149.48,162.89,195.08,170.96,263.91,202.59,14.99,148.1
H0852,72.33,127.0,229.35,125.83,270.86,143.21,97.86,140.79,212.63,147.1
H0853,217.25,98.96,145.3,196.64,210.08,227.95,129.74,220.59,71.74,280.3
H0854,281.25,151.6,191.57,284.81,204.84,130.46,11.42,83.38,161.21,66.43
H0855,238.12,209.66,34.83,268.72,38.94,289.9,98.47,160.3,147.99,66.95
H0856,57.74,92.19,198.75,214.38,145.07,292.47,84.34,203.87,75.04,96.13
H0857,247.63,16.61,152.97,89.66,189.13,99.6,98.91,205.2,249.16,291.4
H0858,197.18,279.69,242.26,206.73,194.04,155.78,148.76,163.65,14.56,200.5
H0859,81.21,297.76,102.69,280.8,235.89,283.44,142.48,30.53,92.82,205.89
H0860,267.11,37.3,220.09,119.56,30.59,208.88,169.99,159.4,21.12,165.8
H0861,262.74,221.57,245.31,288.12,173.17,43.21,119.58,172.0,251.4,22.31
H0862,227.33,10.4,124.64,84.42,25.5,134.23,103.42,228.39,214.54,19.9
H0863,39.56,84.31,229.89,194.58,220.07,63.58,277.42,260.8,213.99,129.93
H0864,128.77,98.72,169.05,272.31,249.96,24.81,280.52,48.1,73.6,62.3
H0865,279.26,22.55,224.79,63.63,227.77,210.42,85.2,72.2,274.52,239.6
H0866,134.91,17.86,78.35,125.05,92.47,218.66,45.61,120.5,168.47,274.27
H0867,71.96,196.01,100.49,157.62,52.87,116.64,90.73,229.18,118.43,72.69
H0868,249.76,258.37,76.23,298.44,271.4,46.51,87.16,224.63,197.66,171.01
H0869,105.76,34.42,111.4,226.59,96.99,77.89,227.52,105.97,135.22,21.33
H0870,10.96,94.96,26.03,39.75,254.92,96.66,15.4,196.23,298.95,26.15
H0871,280.16,67.63,264.03,219.57,153.31,215.64,171.91,264.7,140.92,191.4
H0872,169.53,190.41,64.09,111.88,176.25,105.69,105.65,108.6,257.94,168.08
H0873,31.34,37.03,255.93,82.44,140.79,129.45,269.87,50.38,185.77,201.05
H0874,77.08,205.68,266.25,272.95,101.93,290.34,61.33,106.44,267.49,45.2
H0875,21.41,287.71,170.87,30.15,250.64,208.09,255.31,170.9,129.77,251.75
H0876,83.4,197.32,129.98,59.22,186.77,148.67,174.83,194.92,260.95,13.33
H0877,145.99,205.29,283.92,158.14,294.74,269.79,280.21,275.55,135.39,26.4
H0878,298.62,22.24,28.73,187.84,122.18,190.01,121.1,232.55,31.03,77.19
H0879,88.48,189.45,242.18,117.13,21.01,244.37,50.3,233.68,238.68,173.06
H0880,70.89,266.11,227.58,242.63,50.56,272.53,145.14,233.46,266.65,297.65
H0881,226.18,178.24,240.12,167.5,110.99,83.29,116.84,280.62,211.79,168.23
H0882,275.71,136.76,112.46,17.75,241.3,238.3,189.65,211.85,143.7,257.82
H0883,59.79,210.69,93.44,56.35,129.94,103.73,20.75,95.84,112.23,29.78
H0884,274.83,234.83,256.52,157.07,172.1,169.89,228.91,126.36,62.46,263.71
H0885,274.61,148.65,253.79,209.13,45.43,249.81,251.12,113.91,93.19,221.29
H0886,185.08,163.81,181.35,182.35,156.55,217.27,30.58,90.5,79.89,92.97
H0887,273.0,285.39,234.86,91.3,253.8,262.88,193.48,109.4,293.01,134.04
H0888,283.31,50.36,109.18,165.73,104.78,31.23,10.5,98.3,111.03,14.49
H0889,186.34,110.26,109.36,212.81,77.89,287.86,176.08,196.84,252.73,137.27
H0890,86.65,155.05,139.32,196.72,220.84,276.95,126.84,16.32,158.04,262.93
H0891,146.18,241.54,18.02,298.24,272.27,163.27,190.23,146.17,115.15,257.55
H0892,277.56,114.02,198.28,25.87,150.22,206.08,282.63,238.89,147.38,177.36
H0893,222.08,286.59,100.07,49.49,213.25,183.11,100.53,247.36,103.68,124.58
H0894,142.45,146.66,57.18,222.68,76.76,40.9,257.7,266.16,124.7,51.28
H0895,97.85,86.77,56.49,110.71,155.52,33.22,299.89,109.17,169.3,217.58
H0896,273.88,126.93,52.89,69.1,245.1,32.93,108.3,186.43,30.05,147.76
H0897,12.59,280.09,81.65,239.76,21.6,45.09,120.52,15.35,92.9,224.01
H0898,210.81,264.59,165.73,279.53,231.88,254.04,267.5,47.35,19.55,295.4
H0899,92.06,257.35,165.79,250.11,99.23,124.87,290.01,38.85,97.57,84.83
H0900,89.05,179.0,111.91,89.34,107.52,254.57,197.53,226.95,224.67,274.02
H0901,72.66,274.32,65.61,183.63,107.13,94.67,277.24,159.79,91.26,142.1
H0902,136.76,62.88,189.85,10.94,228.91,151.54,220.95,150.77,93.97,192.09
H0903,73.85,272.73,217.76,282.96,119.36,283.4,178.26,137.49,120.07,202.9
H0904,269.25,53.11,48.06,31.42,276.11,153.12,241.58,32.02,125.0,132.94
H0905,110.89,169.15,246.9,162.01,240.37,218.56,11.42,37.88,183.55,42.2
H0906,77.0,99.44,68.56,251.57,172.32,108.61,206.28,188.27,60.06,67.53
H0907,141.02,222.4,158.98,151.36,23.29,234.42,56.38,141.05,25.64,181.92
H0908,24.13,199.85,44.53,119.1,237.68,146.94,105.81,239.3,226.36,294.49
H0909,128.44,118.69,221.18,72.49,56.77,84.01,141.75,299.21,202.2,98.01
H0910,96.3,176.34,94.31,207.92,55.64,152.84,256.04,37.18,188.76,203.14
H0911,182.71,170.44,149.5,18.9,239.01,33.89,258.36,141.07,47.28,242.13
H0912,112.2,149.48,69.04,52.15,143.82,211.43,203.41,132.6,35.21,106.77
H0913,273.62,120.5,104.92,268.14,140.67,173.37,244.17,148.39,31.2,244.79
H0914,68.44,59.51,45.75,276.35,99.14,156.96,119.1,47.45,299.72,124.76
H0915,18.88,84.88,20.85,79.65,170.99,297.19,10.63,255.41,79.72,114.3
H0916,149.37,123.92,136.75,110.92,76.38,145.83,144.35,53.01,95.31,113.43
H0917,62.32,261.45,98.54,181.24,32.89,235.86,27.26,168.71,111.15,15.1
H0918,133.4,104.81,110.8,111.72,171.07,184.92,264.41,38.68,108.05,181.59
H0919,285.05,208.41,71.8,63.72,274.78,31.11,31.69,127.34,116.7,283.67
H0920,29.54,113.01,128.47,128.03,147.78,291.07,32.14,176.84,222.38,145.29
H0921,144.13,171.27,32.46,194.71,13.84,203.58,148.08,249.09,191.46,253.9
H0922,213.36,152.16,62.09,45.48,82.22,210.07,224.03,262.26,121.76,297.76
H0923,235.43,141.53,133.78,205.51,226.67,190.56,206.63,260.06,129.28,245.69
H0924,125.28,167.58,195.9,112.79,187.01,212.04,184.28,275.79,109.11,256.95
H0925,164.61,163.16,32.12,141.79,282.2,180.04,45.03,29.99,111.48,179.5
H0926,202.97,252.5,222.97,172.57,293.33,115.7,25.64,280.52,51.81,187.08
H0927,102.38,252.23,69.12,79.12,257.72,79.11,120.08,58.25,297.78,23.61
H0928,148.64,119.17,225.23,119.99,165.91,271.13,216.1,138.99,126.8,40.39
H0929,164.46,28.68,76.03,109.32,241.46,169.25,136.69,283.88,271.63,217.86
H0930,154.61,293.42,298.87,278.93,159.05,156.52,103.1,281.11,68.32,267.85
H0931,182.09,36.78,271.59,84.28,198.56,124.82,248.35,28.38,187.98,259.0
H0932,115.35,266.0,252.44,172.75,137.15,69.33,92.74,56.02,298.06,14.5
H0933,113.29,171.54,271.45,170.84,91.0,185.42,18.22,227.19,185.08,257.85
H0934,186.53,98.37,160.05,184.2,94.03,42.16,251.61,116.61,265.02,251.32
H0935,104.79,241.29,293.13,106.04,115.78,11.03,29.03,45.51,154.17,72.16
H0936,82.8,144.79,245.34,66.52,101.8,228.42,104.38,22.28,99.59,45.89
H0937,259.64,261.21,41.83,236.74,80.8,67.85,96.45,155.44,105.04,28.16
H0938,17.32,225.81,167.8,93.04,16.39,65.61,175.53,88.73,284.39,274.54
H0939,85.27,222.01,109.52,13.35,236.18,120.21,204.89,294.91,191.34,58.72
H0940,68.69,35.02,177.5,83.02,16.2,294.92,68.66,298.32,57.59,77.42
H0941,47.66,233.49,213.7,80.49,212.77,139.4,127.46,261.45,15.61,98.25
H0942,201.95,246.83,128.16,272.39,84.74,72.69,97.65,245.01,224.57,198.87
H0943,36.85,123.22,263.78,84.22,247.05,277.7,272.62,10.49,229.65,117.85
H0944,257.83,198.41,214.85,80.71,39.94,26.08,244.81,69.42,168.7,142.46
H0945,144.94,98.58,65.84,251.93,195.05,222.62,278.95,291.97,108.49,193.81
H0946,85.26,285.1,242.82,134.58,90.13,70.54,240.64,136.77,47.16,123.2
H0947,196.91,171.14,199.49,172.1,189.63,184.57,238.92,173.78,287.42,229.73
H0948,137.37,177.12,14.55,197.88,51.73,236.36,228.5,137.51,182.24,218.32
H0949,214.3,120.98,75.91,138.44,291.73,108.54,205.03,275.98,176.8,293.02
H0950,259.79,17.24,154.13,283.57,147.17,207.71,280.19,21.92,233.79,98.19
H0951,254.48,193.85,53.36,121.19,192.26,94.7,142.41,74.91,281.66,96.43
H0952,28.32,280.15,189.61,197.73,92.99,278.86,241.47,294.29,245.29,263.95
H0953,259.24,37.33,11.78,239.46,28.55,225.2,223.08,184.07,57.04,149.55
H0954,115.45,133.72,187.58,244.97,91.26,242.67,131.23,297.65,97.95,294.78
H0955,20.8,262.96,35.49,211.64,227.8,290.24,199.39,163.29,290.27,298.56
H0956,78.35,294.17,279.88,50.68,188.92,219.74,266.65,45.48,262.32,169.84
H0957,227.13,215.25,222.0,173.51,206.82,94.94,232.67,58.08,262.34,123.93
H0958,183.49,48.14,27.44,232.51,174.78,265.54,104.76,199.99,210.33,225.6
H0959,155.03,181.63,55.92,210.2,37.55,269.55,155.03,184.48,227.13,256.98
H0960,75.63,128.74,280.89,197.26,136.8,187.4,158.84,218.5,120.58,71.71
H0961,170.19,159.08,80.09,295.21,177.58,72.11,113.85,142.12,134.89,184.76
H0962,10.7,64.81,214.75,168.76,247.14,106.22,61.53,199.94,276.59,109.37
H0963,298.78,249.11,111.58,73.53,89.01,173.46,215.0,290.62,45.52,82.32
H0964,267.5,192.37,28.25,142.75,99.3,89.66,109.13,173.83,35.07,35.3
H0965,29.96,290.04,57.2,74.53,29.01,28.55,184.19,43.23,74.39,154.39
H0966,131.96,31.68,169.21,197.4,89.45,293.81,227.06,161.69,175.06,14.59
H0967,248.12,275.13,237.33,125.08,166.29,150.03,139.31,15.42,53.62,185.54
H0968,82.16,259.38,269.27,157.94,79.38,181.59,24.17,177.89,22.33,99.17
H0969,299.83,14.93,78.25,175.5,168.55,70.37,252.04,10.61,219.03,43.21
H0970,153.65,43.05,115.69,84.97,95.89,122.23,231.23,71.1,235.72,96.23
H0971,289.02,155.0,291.64,279.82,184.62,103.1,208.87,208.91,97.89,148.49
H0972,187.08,16.04,173.37,149.82,48.91,291.93,167.37,274.44,64.2,257.86
H0973,290.89,218.1,106.41,236.49,136.78,83.41,137.28,288.53,102.75,185.3
H0974,67.26,253.11,37.54,23.24,223.91,176.54,187.93,63.91,118.26,198.26
H0975,236.14,96.23,188.13,199.05,37.55,170.07,47.09,148.98,34.28,182.84
H0976,146.83,74.91,188.48,200.6,175.93,234.68,199.55,80.17,131.48,183.65
H0977,142.47,89.04,55.65,95.45,177.3,184.37,217.05,123.99,18.83,203.32
H0978,229.69,122.64,247.52,37.06,277.6,270.26,163.5,68.53,220.99,238.69
H0979,195.53,80.04,214.6,21.29,153.0,180.55,274.85,48.84,190.1,290.31
H0980,72.57,251.17,257.67,57.4,49.82,123.17,251.68,237.68,168.46,46.71
H0981,197.14,296.54,210.19,201.37,130.01,24.95,51.96,27.56,87.63,27.4
H0982,187.01,218.17,174.23,176.92,78.71,292.16,37.37,80.92,154.78,98.33
H0983,220.47,105.61,144.04,26.99,203.81,196.18,209.68,180.59,241.87,203.35
H0984,26.33,89.53,107.37,71.22,161.73,262.53,284.27,73.07,233.74,227.43
H0985,51.75,154.58,284.1,65.06,210.02,242.33,93.15,266.56,238.55,101.98
H0986,110.38,102.36,226.03,171.09,194.77,112.69,42.64,299.37,231.88,282.41
H0987,115.4,227.92,299.75,29.41,239.24,196.79,54.82,142.0,297.67,160.69
H0988,71.88,47.51,12.62,24.39,275.24,198.85,11.98,260.9,175.76,12.54
H0989,92.91,283.79,210.72,153.83,224.53,35.83,261.84,158.2,138.01,44.11
H0990,38.48,15.6,212.62,112.63,285.71,179.61,215.34,88.55,127.81,227.88
H0991,64.09,127.4,16.94,47.45,293.28,108.47,277.91,222.25,76.98,247.31
H0992,206.32,268.45,55.95,21.65,182.27,79.68,110.73,237.91,195.21,64.76
H0993,296.13,205.72,146.12,224.75,46.36,257.94,157.21,237.55,107.33,51.55
H0994,295.98,111.59,87.23,94.46,226.65,116.31,115.67,259.99,244.57,135.32
H0995,30.06,98.79,88.55,282.48,140.06,219.39,291.25,82.39,172.76,152.47
H0996,143.61,76.24,117.39,192.32,233.96,281.19,133.98,178.75,287.68,299.96
H0997,278.48,182.21,110.67,12.0,116.24,258.83,149.55,21.84,237.74,152.03
H0998,38.87,137.46,109.84,18.48,291.96,247.68,278.49,19.24,11.62,188.66
H0999,100.2,276.3,202.14,63.09,178.47,45.91,178.44,155.61,144.2,115.05
H1000,90.56,196.04,258.32,75.84,52.34,75.15,151.44,258.72,167.95,193.69
H1001,250.71,36.7,113.1,40.45,238.97,34.95,65.79,235.97,55.37,49.06
H1002,94.78,246.92,178.1,45.56,98.69,120.58,176.46,38.13,228.2,51.93
H1003,210.35,159.37,52.78,256.36,221.51,274.21,77.12,181.79,47.39,242.25
H1004,286.13,268.29,174.72,273.96,63.3,33.09,159.28,225.75,262.89,28.48
H1005,44.41,82.63,54.47,76.2,43.05,247.42,241.11,73.16,238.42,91.62
H1006,247.75,116.21,96.68,142.27,174.86,110.96,270.45,124.34,61.63,292.24
H1007,219.94,282.52,254.38,268.78,229.12,24.29,61.5,205.01,111.99,151.26
H1008,59.88,42.55,250.78,144.86,263.6,132.6,192.33,104.54,265.92,57.7
H1009,223.06,159.01,78.05,184.06,281.1,283.59,279.71,21.5,95.05,169.56
H1010,244.75,37.14,253.21,137.07,229.62,289.46,295.62,103.88,151.75,214.34
H1011,162.83,194.39,101.57,191.22,133.36,297.69,114.46,47.57,288.67,158.68
H1012,152.16,178.94,203.77,177.51,274.44,269.21,274.17,93.31,37.35,87.11
H1013,237.77,161.19,199.72,263.43,189.7,28.42,261.98,232.37,170.38,236.74
H1014,174.03,232.14,143.77,39.31,247.79,222.78,118.12,11.27,216.1,252.22
H1015,173.52,181.93,85.98,233.56,16.11,92.64,260.46,283.78,291.11,58.36
H1016,160.53,277.46,87.1,139.24,101.32,297.71,99.66,202.27,53.52,146.9
H1017,203.4,288.24,293.83,31.51,129.02,212.02,231.08,131.01,49.74,124.34
H1018,206.14,213.8,67.13,171.4,164.25,144.8,85.09,213.66,181.75,179.84
H1019,75.04,78.75,165.05,112.39,205.68,43.06,73.39,131.53,88.21,107.35
H1020,240.81,233.84,16.36,179.17,107.06,253.09,289.02,101.81,21.27,218.69
H1021,22.38,243.11,235.52,43.97,212.77,27.38,231.88,192.14,196.77,87.2
H1022,266.12,290.71,144.35,192.21,69.02,122.55,240.32,144.72,246.23,222.67
H1023,229.72,44.87,57.9,192.98,131.74,62.57,189.84,278.56,137.99,19.27
H1024,53.73,143.51,163.36,180.64,266.28,140.0,131.79,100.38,10.64,287.31
H1025,58.52,95.06,247.64,240.69,34.58,222.56,182.54,238.99,242.09,51.11
H1026,183.18,282.06,137.03,235.19,104.24,57.33,145.49,16.79,257.48,176.03
H1027,112.17,200.69,16.27,207.8,92.71,121.44,135.53,129.59,257.13,80.18
H1028,126.37,102.46,42.34,166.62,65.47,94.01,24.93,139.18,270.05,25.91
H1029,68.17,25.37,31.98,146.3,287.68,24.93,225.24,77.22,274.11,176.77
H1030,189.73,123.49,274.6,55.78,82.84,195.78,237.34,249.88,238.56,258.78
H1031,163.78,216.67,202.36,41.02,201.46,241.92,187.89,95.9,225.09,47.43
H1032,198.68,94.76,82.47,169.51,40.31,140.74,175.59,114.31,136.53,299.77
H1033,10.34,104.07,39.31,12.12,189.27,133.18,94.07,56.93,226.35,147.39
H1034,62.04,227.08,132.23,133.75,76.83,131.77,220.55,129.46,208.95,246.92
H1035,124.02,83.37,80.81,99.43,162.09,104.9,78.37,19.44,280.39,286.0
H1036,29.18,27.91,270.46,204.78,171.96,248.23,47.74,27.05,30.58,204.71
H1037,93.15,113.74,291.02,116.14,138.17,226.81,57.53,34.92,271.27,137.8
H1038,234.36,153.77,202.7,28.35,275.85,41.59,62.21,165.76,258.8,295.11
H1039,60.53,258.34,183.27,72.25,145.4,223.82,296.91,199.15,64.56,16.81
H1040,256.32,285.07,21.66,54.98,250.82,29.1,249.42,152.27,167.44,41.62
H1041,242.75,253.26,279.81,46.89,147.53,265.57,142.35,61.5,60.23,105.68
H1042,285.33,129.77,51.92,270.54,135.86,229.7,91.02,106.21,73.15,152.47
H1043,47.98,117.43,188.0,287.66,222.36,98.71,12.67,76.12,100.82,296.4
H1044,209.43,72.15,120.42,31.99,249.83,64.97,147.8,227.57,163.04,40.04
H1045,91.05,175.1,257.75,99.11,10.52,90.26,290.63,124.6,287.14,64.48
H1046,45.31,232.32,247.75,110.93,118.57,145.39,80.98,280.96,125.34,34.6
H1047,162.05,158.63,121.01,242.34,215.2,28.89,244.24,194.22,209.58,97.59
H1048,250.9,79.23,60.6,289.38,205.27,155.56,35.53,24.21,234.74,196.02
H1049,31.1,244.94,197.71,289.6,236.15,20.7,283.61,259.96,124.31,273.39
H1050,226.12,287.22,71.34,141.53,140.24,147.55,217.6,153.2,88.5,130.61
H1051,152.41,159.08,129.76,188.98,66.49,91.81,178.57,86.55,274.44,11.17
H1052,224.69,145.43,200.32,144.16,180.99,288.79,140.92,137.38,77.73,76.04
H1053,118.1,20.48,82.57,188.19,72.78,103.52,123.99,252.72,115.87,290.76
H1054,242.35,178.11,178.66,201.37,294.36,175.75,224.58,146.13,200.64,141.6
H1055,273.72,287.99,185.32,138.15,137.76,198.83,76.56,120.17,62.02,57.17
H1056,76.29,183.95,130.51,45.92,119.68,132.93,248.45,298.8,37.41,167.28
H1057,202.34,164.49,67.25,70.9,79.17,195.42,133.68,278.0,55.23,198.97
H1058,275.48,269.05,242.41,98.68,80.35,63.95,215.48,38.92,128.56,163.22
H1059,26.85,48.11,221.83,279.37,264.32,269.72,128.51,231.28,75.76,51.34
H1060,43.75,36.51,231.69,36.33,256.16,187.66,52.6,138.61,237.37,62.23
H1061,18.29,270.74,254.65,148.44,181.58,39.85,197.07,146.14,67.03,168.68
H1062,240.91,125.85,215.8,19.07,78.18,200.14,180.54,199.71,120.05,280.07
H1063,174.98,297.32,38.04,216.33,177.55,66.0,29.96,209.67,231.48,202.04
H1064,191.42,223.17,127.44,115.57,293.6,246.26,219.81,217.48,194.14,143.67
H1065,208.56,86.6,13.18,29.46,97.66,117.96,180.65,193.96,135.35,132.61
H1066,25.51,195.04,35.72,206.75,261.66,89.39,183.0,31.05,24.18,278.79
H1067,121.95,62.63,255.74,234.47,120.74,85.27,13.34,156.1,285.64,266.89
H1068,185.03,40.24,202.97,91.36,239.48,106.48,151.27,57.59,231.85,155.58
H1069,48.21,83.6,247.07,124.72,85.66,203.2,161.89,251.18,58.12,175.57
H1070,169.31,118.85,247.31,234.07,206.81,170.02,14.22,268.74,228.4,149.08
H1071,283.49,59.28,164.48,136.84,224.22,146.47,276.36,87.08,39.47,191.0
H1072,232.3,104.74,29.37,230.22,290.46,93.31,194.53,240.7,232.45,138.84
H1073,144.24,206.06,114.91,60.12,75.69,168.5,197.49,146.75,180.81,253.95
H1074,266.4,124.9,153.81,110.83,142.85,183.07,227.12,34.78,220.27,104.34
H1075,63.9,96.95,115.93,257.75,72.84,244.03,235.04,193.11,232.53,232.07
H1076,85.94,295.97,39.01,199.6,63.49,60.9,133.61,177.41,55.25,94.96
H1077,169.7,246.76,15.5,241.39,238.88,171.59,25.62,74.04,228.31,184.04
H1078,51.37,102.77,172.94,248.77,255.01,34.56,19.09,273.06,16.4,210.17
H1079,46.76,101.85,260.84,14.96,38.9,138.44,167.13,66.44,206.93,14.19
H1080,152.95,79.09,271.93,241.36,274.05,258.53,290.5,103.07,39.97,155.58
H1081,68.8,65.13,53.65,176.32,248.03,263.48,60.3,263.14,221.53,121.1
H1082,153.95,88.73,86.42,182.02,209.27,244.09,180.28,238.43,107.42,193.89
H1083,112.69,297.66,107.67,55.54,227.87,37.88,23.02,255.82,18.84,157.37
H1084,82.28,31.45,131.08,162.56,36.83,45.04,76.79,126.5,189.48,203.31
H1085,211.55,53.53,125.35,215.41,191.31,298.98,272.09,181.08,121.03,189.29
H1086,51.57,30.49,122.48,265.26,124.76,287.74,184.12,10.62,187.59,74.99
H1087,61.11,45.3,288.44,191.4,74.04,112.92,65.18,94.78,77.3,247.71
H1088,97.98,228.52,121.53,32.0,224.59,87.61,251.13,109.7,267.53,96.11
H1089,16.49,150.69,159.81,165.94,88.46,135.72,198.62,23.7,97.8,68.02
H1090,160.2,280.7,116.63,72.38,198.21,290.31,224.51,269.27,70.08,67.12
H1091,218.38,107.46,223.18,32.0,239.7,217.72,95.18,43.31,132.88,138.56
H1092,288.73,44.48,249.99,14.48,91.9,86.47,215.62,291.21,11.52,161.15
H1093,41.02,214.74,43.83,215.35,19.81,104.13,117.53,238.45,234.51,179.49
H1094,253.84,280.0,293.65,108.18,57.8,148.98,216.52,144.34,59.48,219.53
H1095,20.18,18.84,154.55,60.31,110.39,30.33,76.6,224.78,59.48,250.26
H1096,276.71,135.31,225.2,202.36,37.25,214.17,227.58,209.66,173.29,168.52
H1097,16.97,164.38,120.51,288.99,72.55,82.38,190.06,51.21,80.8,104.06
H1098,254.79,162.54,13.12,236.75,269.24,129.04,136.76,260.09,199.13,195.54
H1099,289.07,215.9,202.05,238.41,49.1,183.04,223.03,194.04,13.6,298.89
H1100,140.03,150.33,233.58,256.65,144.17,150.98,106.68,78.89,214.08,149.54
H1101,176.63,75.42,211.5,268.22,145.63,54.38,246.43,135.38,64.41,225.07
H1102,259.02,102.41,287.91,179.37,55.45,93.7,242.98,11.57,236.64,274.66
H1103,65.0,161.18,165.58,114.48,115.12,24.44,223.92,170.07,103.21,51.35
H1104,133.22,29.07,149.02,213.43,144.92,261.2,226.66,27.65,294.46,178.64
H1105,118.56,229.82,216.74,27.54,163.54,87.16,232.49,125.05,204.64,144.0
H1106,277.06,49.17,16.52,55.38,38.35,220.82,93.16,264.09,204.23,284.91
H1107,35.94,155.63,213.58,178.78,234.9,238.97,106.94,211.66,20.91,62.74
H1108,230.26,184.99,55.3,67.53,247.28,213.45,257.01,225.21,183.85,265.17
H1109,37.41,128.95,53.77,10.49,132.77,80.8,286.18,116.73,226.27,156.32
H1110,89.7,77.24,161.02,77.04,121.91,67.88,265.44,285.1,158.26,116.4
H1111,227.35,107.42,196.23,169.91,189.02,72.15,225.76,282.45,140.89,109.09
H1112,34.67,178.5,17.96,150.02,126.61,212.91,167.19,41.42,218.45,124.48
H1113,258.42,39.06,129.85,26.82,71.16,287.95,231.32,152.85,137.1,253.55
H1114,244.43,269.08,98.62,81.66,236.95,215.87,44.95,53.76,65.43,136.26
H1115,145.66,290.87,136.6,279.19,238.34,299.99,136.45,134.22,268.34,226.35
H1116,143.95,222.3,108.56,279.65,211.67,168.15,105.96,88.42,232.56,104.52
H1117,151.64,41.64,136.93,273.77,92.83,193.88,156.98,285.15,208.29,61.67
H1118,168.73,111.38,10.46,81.34,246.04,279.87,24.39,109.84,92.9,253.15
H1119,189.49,144.96,83.43,169.33,292.28,276.39,204.1,150.36,292.97,40.47
H1120,126.37,186.85,77.51,142.75,34.52,273.77,170.73,144.22,15.82,95.29
H1121,168.86,145.66,175.28,182.4,149.14,134.49,32.03,241.94,261.91,250.7
H1122,23.08,130.24,288.76,193.35,133.23,67.02,256.78,278.88,162.55,45.0
H1123,145.65,184.88,231.14,100.79,38.99,183.47,143.17,42.22,290.17,68.9
H1124,59.23,163.04,139.19,260.13,245.61,133.95,297.98,283.45,280.2,61.15
H1125,96.37,230.19,111.77,128.98,69.08,227.26,184.81,260.21,111.78,294.12
H1126,277.93,92.1,163.03,137.29,132.97,211.2,204.7,156.5,15.21,299.82
H1127,201.2,155.89,110.07,191.31,76.44,189.61,288.7,94.39,89.73,53.31
H1128,62.21,90.74,185.34,166.98,266.47,107.1,186.85,237.74,294.39,158.29
H1129,233.69,193.92,250.14,222.5,131.96,220.65,219.27,32.16,109.22,121.15
H1130,144.21,137.91,27.35,94.04,218.07,266.23,105.74,270.93,94.46,235.52
H1131,223.56,196.04,43.85,44.81,146.73,135.02,200.23,192.95,94.86,193.68
H1132,286.51,233.54,205.32,28.22,21.03,238.23,119.67,287.83,280.54,176.54
H1133,66.89,159.13,64.55,286.78,118.58,99.51,100.09,68.14,167.67,238.77
H1134,36.53,27.66,92.48,228.31,46.29,220.4,70.81,179.78,293.85,24.98
H1135,121.6,63.85,227.41,19.26,143.08,239.26,87.32,57.74,217.67,244.32
H1136,76.5,23.13,123.16,294.4,231.84,293.33,27.63,87.41,76.1,115.76
H1137,235.1,17.61,270.64,191.59,230.56,82.37,50.6,128.61,145.53,210.05
